,ts_code,symbol,name,area,industry,list_date
3034,600507.SH,600507,方大特钢,江西,特种钢,20030930
3035,600508.SH,600508,上海能源,上海,煤炭开采,20010829
3036,600509.SH,600509,天富能源,新疆,火力发电,20020228
3037,600510.SH,600510,黑牡丹,江苏,全国地产,20020618
3038,600511.SH,600511,国药股份,北京,医药商业,20021127
3039,600512.SH,600512,腾达建设,浙江,建筑工程,20021226
3040,600513.SH,600513,联环药业,江苏,化学制药,20030319
3041,600515.SH,600515,ST基础,海南,机场,20020806
3042,600516.SH,600516,方大炭素,甘肃,矿物制品,20020830
3043,600517.SH,600517,国网英大,上海,多元金融,20031010
3044,600518.SH,600518,ST康美,广东,中成药,20010319
3045,600519.SH,600519,贵州茅台,贵州,白酒,20010827
3046,600520.SH,600520,文一科技,安徽,机械基件,20020108
3047,600521.SH,600521,华海药业,浙江,化学制药,20030304
3048,600522.SH,600522,中天科技,江苏,通信设备,20021024
3049,600523.SH,600523,贵航股份,贵州,汽车配件,20011227
3050,600525.SH,600525,长园集团,深圳,电气设备,20021202
3051,600526.SH,600526,菲达环保,浙江,环境保护,20020722
3052,600527.SH,600527,江南高纤,江苏,化纤,20031127
3053,600528.SH,600528,中铁工业,北京,运输设备,20010528
3054,600529.SH,600529,山东药玻,山东,医疗保健,20020603
3055,600530.SH,600530,交大昂立,上海,医疗保健,20010702
3056,600531.SH,600531,豫光金铅,河南,铅锌,20020730
3057,600532.SH,600532,*ST未来,上海,医疗保健,20021031
3058,600533.SH,600533,栖霞建设,江苏,区域地产,20020328
3059,600535.SH,600535,天士力,天津,中成药,20020823
3060,600536.SH,600536,中国软件,北京,软件服务,20020517
3061,600537.SH,600537,亿晶光电,浙江,电气设备,20030123
3062,600538.SH,600538,国发股份,广西,医药商业,20030114
3063,600539.SH,600539,狮头股份,山西,互联网,20010824
3064,600540.SH,600540,新赛股份,新疆,种植业,20040107
